Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer provided,min_salary,max_salary,avg_salary,company_txt,job_state,job&hq_same_state,company_age,python,matlab,cpp,sql,java,dsp,power,ML,entry_lvl,senior_lvl
Electrical Engineer,$67K-$81K (Glassdoor est.),"AK Steel has an immediate opportunity for an Electrical Maintenance Engineer - Steelmaking at our Middletown facility.

Primary Responsibilities:
Responsible for the complete design of electrical systems for upgrades to new and existing equipment.
Responsible for the electrical system concepts, drawing development, equipment specification, system control concepts and flow diagrams.
Project supervision for electrical portion of systems purchased from outside mechanical and/or electrical equipment suppliers.
Responsible for all required programming, installation design, start-up, and final documentation.
On a day-to-day basis include technical support of maintenance in troubleshooting equipment breakdowns.
Responsible for Power Distribution from Medium Voltage Substations and 480 Volt Substations to distributed Motor Control Centers and the loads they feed.
Other duties as assigned.
Qualifications:
Bachelors degree in Electrical Engineering is required.
At least 3 years experience in a heavy industrial environment.
Co-op or related experience in system design, programming, and startup of industrial equipment.
Experience should include but not be limited to programming and implementation of Programmable Logic Controllers, AC/DC motor drives, Human Machine Interface, and industrial component networking.
Experience with Rockwell/Allen Bradley PLC, Siemens S7 PLC, and/or Siemens and Rockwell AC/DC drives.
Experience in the steelmaking process is beneficial.
AutoCAD experience is preferred.
Experience with 250 VDC motor control and overhead crane controls is beneficial.
Why Apply?
Excellent compensation and benefits.
Challenging work.
Advancement opportunities.
We are an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity, genetic information, disability, military or protected veteran status. The following links provide information regarding your Equal Employment Opportunity rights and protections: EEO is the Law & EEO is the Law Supplement. We are a drug-free workplace and conduct pre-employment testing as a condition of employment.",3.2,"AK Steel
3.2","Middletown, OH","West Chester, OH",5001 to 10000 employees,1989,Company - Public,Metal & Mineral Manufacturing,Manufacturing,$5 to $10 billion (USD),"United States Steel, Nucor, ArcelorMittal USA",0,0,67.0,81.0,74.0,"AK Steel
", OH,0,31,0,0,0,0,0,0,1,0,0,0
Electrical Engineer,$47K-$73K (Glassdoor est.),"POSITION SUMMARY

Perform engineering duties in planning, designing, developing, testing and supervising the manufacture and installation of electrical equipment, components, or systems for custom industrial HVAC/refrigeration equipment.

ESSENTIAL FUNCTIONS

Reasonable Accommodations Statement

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Reasonable Accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.

Essential Functions Statement(s)
Read and interpret technical drawings, schematics, specifications and computer-generated reports in order to research, design and evaluate electrical products, equipment, systems and processes to meet customer requirements, applying knowledge of engineering principles.
Specify system components or direct selection of products to ensure conformance with engineering design and performance specifications.
Prepare and study technical drawings, specifications of electrical systems to ensure that design, installation and operations conform to standards and customer requirements.
Operate computer-assisted engineering and design software and equipment to perform engineering tasks.
Confer with engineers, customers, and others to discuss existing or potential engineering projects and products.
Direct and coordinate manufacturing, construction, installation, maintenance, support, documentation, and testing activities to ensure compliance with specifications, codes, and customer requirements.
Design, implement, maintain, and improve electrical instruments, equipment, facilities, components, products, and systems for commercial, industrial, and domestic purposes.
Prepare specifications for purchase of materials and equipment.
Perform detailed calculations to compute and establish manufacturing, construction, and installation standards and specifications.
Investigate customer complaints, determine nature and extent of problem, and recommend remedial measures.
Assist with project production efforts to assure projects are completed satisfactorily, on time and within budget.
Plan and implement research methodology and procedures to apply principles of electrical theory to engineering projects.
Assist with development of budgets, estimating labor, material, and construction costs.
Compile data and write reports regarding existing and potential engineering studies and projects.
Train project team members as necessary.
Investigate and test vendors' and competitors' products.
Inspect completed installations and observe operations to ensure conformance to design and equipment specifications and compliance with operational and safety standards.
Conduct field surveys and study maps, graphs, diagrams, and other data to identify and correct power system problems.
Collect data relating to commercial and residential development, population, and power system interconnection to determine operating efficiency of electrical systems.
Assist with shop testing of units.
Assist with unit start-up as required at job sites.
Attendance at work during regularly scheduled shifts and scheduled overtime is an essential duty. This includes but is not limited to being at the work station ready for work at the start of the shift.
Other responsibilities as assigned.
MiTek is an E-Verify and Drug and Tobacco-Free Workplace.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard To race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.

Required Skills

POSITION QUALIFICATIONS

Competency Statement(s)
Accuracy - Ability to perform work accurately and thoroughly.
Analytical Skills - Ability to use thinking and reasoning to solve a problem.
Conceptual Thinking - Ability to think in terms of abstract ideas.
Detail Oriented - Ability to pay attention to the minute details of a project or task.
Technical Aptitude - Ability to comprehend complex technical topics and specialized information.
Research Skills - Ability to design and conduct a systematic, objective, and critical investigation.
Safety Awareness - Ability to identify and correct conditions that affect employee safety.
Communication - Ability to communicate effectively with others verbally and in writing.
Computer Skills

Microsoft Office Suite, Autocad, Outlook, related software skills.

Required Experience

Education : Bachelor degree in Electrical Engineering or equivalent experience required.

Experience : One to two years related experience strongly preferred.

Job Location
Minnetonka, US-MN",3.8,"MiTek Industries
3.8","Minnetonka, MN","Chesterfield, MO",5001 to 10000 employees,1955,Company - Private,Miscellaneous Manufacturing,Manufacturing,$1 to $2 billion (USD),Simpson Strong-Tie,0,0,47.0,73.0,60.0,"MiTek Industries
", MN,0,65,0,0,0,0,0,0,1,0,0,0
Electrical Design Engineer,$69K-$105K (Glassdoor est.),"ACT designs and manufactures an extensive range of rugged military power supplies and power related products. Our long-term engineering team has the technical expertise to meet and innovate for a variety of requirements and interfaces with our customers from initial concept to full scale production to long term program sustainability. At ACT, we have driven our success through a history of innovative problem-solving and a commitment to meeting the most demanding requirements of our customers. Join our team and become a part of the future success of ACT!

We are seeking a creative problem-solver to design, develop, improve and test new or existing custom electronic products from concept through production. The Senior Electrical Design Engineer will interface with customers on requirements and provide technical proposals in response to requests for quotes.


Qualifications:

1. BSEE or BSEET
2. 10+ years of electrical engineering design experience preferred
3. Engineering skills to include analog design with preference to power supply design experience
4. Experience with resnant converters at greater than 1kw considered a plus
5. Excellent written and verbal presentation skills
6. Good organizational skills and attention to detail
7. Ability to multitask
8. Ability to travel in support of sales and/or products

This position may require exposure to information which is subject to US export control regulations, i.e. the International Traffic in Arms Regulations (ITAR) or the Export Administration Regulations (EAR). All applicants must be U.S. persons within the meaning of U.S. regulations as defined by ITAR.
ACT is an equal opportunity employer and considers qualified applicants for employment without regard to race, color, creed, religion, national origin, sex, age, disability, veteran status or any other protected factor.",2.0,"Advanced Conversion Technology
2.0","Middletown, PA","Middletown, PA",51 to 200 employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$10 to $25 million (USD),-1,0,0,69.0,105.0,87.0,"Advanced Conversion Technology
", PA,1,-1,0,0,0,0,0,0,1,0,0,1
Senior Electrical Engineer,$92K-$105K (Glassdoor est.),"Title:

Senior Electrical Engineer

FLSA Status:

Exempt
Position Description
The successful applicant will provide electrical engineering expertise for Ideal Aerosmiths products and testing solutions. Typical areas of focus include servo systems, analog and digital logic as well as general system integration. While not being an expert in all areas of the product, the successful electrical engineer will have a working knowledge on how the electrical system interacts with the mechanical and software portions of the product. The position also requires the ability to work with minimal supervision, start projects with minimal parameters, complete assignments accurately and on schedule, excellent troubleshooting skills, and the ability bring out the best in other team members.
Job Responsibilities
Apply principles and practices of electrical engineering to design the electrical system for the Ideal Aerosmith product.
Prepare technical drawings and specifications for the electrical system components.
Develop and coordinate test procedures to ensure operation of equipment meets quality standards, regulations and customer requirements.
Confer with engineers, product management, customers, and management to discuss existing or future engineering products and projects.
Provide electrical expertise to the integration team and to customer support as needed.
Provide estimates for labor, material, and other costs for quotes and timeline development.
Participate and lead within the guidelines of the Entrepreneurial Operation System
Ensure compliance with ISO 9001 and other regulatory standards.
Qualification Requirements
BS or equivalent in Electrical Engineering.
10 years of electrical engineering design experience.
Ability to travel (domestic and internationally) and obtain a passport.
This position requires the employee to work in a restricted facility that requires US citizenship or Permanent Residence (Green Card).
Skill Requirements
Possess skills and knowledge in the following areas of Mechatronics:
Motors/Drives
Feedback Devices
Control Systems
Electrical Hardware/Software Integration
Industrial Controls/PLCs and Power Systems
Embedded Systems
Electromagnetic Compatibility
Experience with PCB design
Familiarity with compliance testing. (NRTL, CE)
Capability in troubleshooting data transmission circuits (Ethernet, USB, CAN, etc.)
Knowledge with programming languages like C/C++, C#, Java, etc.
Experience with MATLAB and Simulink
Ability to effectively troubleshoot electrical systems.
Excellent problem solving, interpersonal, communication and conflict management skills.
Physical Requirements
Must have the ability to lift and/or carry 45 lbs.
Ability to work for extended periods at computer workstation.
The position can require walking, standing, squatting, crouching, stooping, lifting, climbing, pulling, pushing, sitting, repetitive motion and kneeling.
Revised 3-9-2020

Job Type: Full-time

Location:
Grand Forks, ND 58201 (Preferred)
Application Question:
This position requires you to work in a restricted facility that requires US Citizenship or Permanent Residence (Green Card). Do you meet this requirement?
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Other
Schedule:
Monday to Friday
Day shift
Company's website:
www.ideal-aerosmith.com",2.6,"IDEAL AEROSMITH, INC
2.6","Grand Forks, ND","Grand Forks, ND",51 to 200 employees,-1,Company - Private,-1,-1,$25 to $50 million (USD),-1,0,0,92.0,105.0,98.5,"IDEAL AEROSMITH, INC
", ND,1,-1,0,1,1,0,1,0,1,0,0,1
Energy Engineer I,$65K-$73K (Glassdoor est.),"POSITION SUMMARY
We provide our utility clients with a wide range of energy-saving and renewable energy solutions. From individual utility customers and construction contractors, to utilities, municipalities, and government bodies, our clients have come to depend on our customized energy efficiency programs to help them to meet their energy saving goals.
The Energy Engineer is primarily responsible for providing expert technical support to customers and trade allies. In this role, you will provide energy advice and coordination services for the energy efficiency programs; these services include: building maintenance, lighting, controls, heating, ventilation, and air conditioning (HVAC) systems for energy efficiency and comfort. This is a client-facing role in which you will interact with and provide customers with advice and recommendations on the solutions that best suit their needs. You will also be working with others who are passionate about energy efficiency and making a positive impact on the industry.
ESSENTIAL DUTIES AND RESPONSIBILITIES
This list of duties and responsibilities is not all-inclusive and may be expanded to include other duties and responsibilities, as management may deem necessary from time to time.
Work with business and building owners, developers, architects, engineers and contractors to provide energy efficiency advice and assistance in participating energy efficiency or energy conservation programs
Identify and provide documentation of on-site opportunities for energy efficiency in buildings under design and construction; provide follow-up as required to the customers
Participate in QA/QC and internal audit activities
Analyze building utility bills to determine energy usage trends
Understand and implement the company’s Sales Process, including but not limited to;
Making outbound calls to new and existing customers to meet assigned energy saving targets
Managing field time effectively with customer or Trade Ally visits
Developing and presenting program presentations to spur project activity
Responding to customer inquiries and concerns by phone, electronically or in person to move projects towards completion
Ability to promote, sell and influence property managers, owners and maintenance staff to install energy efficiency measures in multifamily dwellings
Prepare and present reports and presentations
Discuss technical elements of energy consuming equipment in a facility (lighting, HVAC, hot water systems, envelope, integrated design) and how it affects utility consumption and demand, to help build a business case to prioritize recommendations and how they affect savings and first cost
Enter data into spreadsheets and databases to determine energy savings and to manage current projects, collaborate with other Energy Advisors/Energy Engineers as required to maximize technical support to the client base
Develop a comprehensive understanding of the program’s strategic direction regarding energy efficiency and the business activities of its customers
Keeping current on the latest energy-saving technology and how we might incorporate them into our products
Collaborating with other Energy Advisors and Energy Engineers to maximize client technical support
Serve as a technical resource for Energy Advisors
Ensure compliance with all quality and safety policies as well as all OSHA regulations
Education and Experience
Bachelor’s degree in Engineering from an accredited four-year college or university. (Based on the position preferences may include: Mechanical, Civil, Electrical or Industrial Engineering)
1-3 years engineering experience related to mechanical design, energy modeling or construction
1-2 years of experience in the energy efficiency industry
Experience in building design, “green” construction and sustainable design - Preferred
Certified Energy Manager and the LEED AP credentials – Preferred
CEM or VPI certification - Preferred
PE or FE certification or desire to obtain one - Preferred
A licensed engineer – Preferred
Strong understanding of how systems affect energy consumptio
Required Skills, Knowledge and Abilities
Strong customer service and communication skills
Must be able to handle a wide work variety and work in a fast-paced environment
Must be a self-starter, organized and have an ability to prioritize workload
Ability to identify and resolve project application issues with customers and trade allies
Proficient in Microsoft Office, specifically Word, Excel and Outlook
Strong data entry skills in entering information in tracking systems/databases
Ability to communicate effectively, both verbally and in writing with customers, clients and employees
Ability to analyze and interpret data and solve practical problems
Knowledge of mathematical concepts such as fractions, percentages and ratios
Ability to work with mathematical concepts such as probability and statistical inference, and fundamentals of plane and solid geometry and trigonometry
Ability to define problems, collect data, establish facts and draw valid conclusions
Ability to understand and apply in a building environment applied physics including thermodynamics, fluids and heat transfer theory
Must be able to research questions of a technical nature efficiently and find new information
Reliable transportation

Licenses & Certifications
Valid driver’s license
Travel Requirements
Willingness to travel less than 25-50% or more of the time

PHYSICAL DEMANDS AND WORK ENVIRONMENT
Required to sit, stand, walk; talk and hear; and ability to touch and handle tools and/or controls
Ability to lift up to 40 pounds
Noise Level is typically moderate
Employee could be exposed to fumes and/or airborne particles and risk of potential shock

Note: Reasonable accommodations may be made for individuals with disabilities to perform the essential functions of this position.
The above information describes the general duties and requirements necessary to perform the principle functions of the position. This shall not be construed as a detailed description of all the duties and requirements that may be necessary in this position.
An Equal Opportunity Employer",3.5,"Franklin Energy
3.5","Detroit, MI","Port Washington, WI",501 to 1000 employees,-1,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),-1,0,0,65.0,73.0,69.0,"Franklin Energy
", MI,0,-1,0,0,0,0,0,0,0,0,1,0
Electrical Engineer,$18K-$33K (Glassdoor est.),"A leader in technology and innovation, Southwire Company, LLC is one of North Americas largest wire and cable producers. Southwire and its subsidiaries manufacture building wire and cable, metal-clad cable, portable and electronic cord products, OEM wire products and engineered products. In addition, Southwire supplies assembled products, contractor equipment and hand tools. We are proud to offer competitive compensation, employee benefits, tuition reimbursement, and unlimited growth opportunities. Our nearly seven decades of progressive growth can be attributed to our determination to developing innovative systems and solutions, exercising environmental stewardship and enhancing the wellbeing of our communities. How will you power whats possible?

Job Title: Electircal Engineer

Location: Douglas, GA

Report To: Manager, Engineering

Job Description:

The Electrical Engineer must have 2-3 years of hands on comprehensive experience and the ability to help manage engineering projects, this includes preparing drawings, managing project teams, assisting in design and documentation, compiling and analyzing data.

Understand how to operate, change the settings, and optimize equipment.

Write procedures in a simple manner that operators can follow to detail the specific instructions to produce quality product.

Create/modify processes and product specifications to ensure the processes produce quality product.

Reduce manufacturing cost by evaluating new materials, new processes, new equipment, cycle time, and improving equipment output.

Work with vendors to determine product specifications and arrange for purchase of equipment, materials, or parts, and evaluates products according to specifications and quality standards.

Requirements
Bachelors Degree in Electrical Engineering or related discipline required
2-3+ years Electrical Engineering experience or related discipline, preferred in the wire industry
Excellent written and verbal communications skills
Excellent math and statistical analysis skills
Excellent eye for detail
Must be comfortable with integrating new technology into an existing system
Must have AutoCad experience
Lean Six Sigma GB/BB certification is a plus
Must be comfortable in a fast-paced manufacturing environment
Southwire is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law.",3.5,"Southwire
3.5","Douglas, GA","Carrollton, GA",5001 to 10000 employees,1950,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 billion (USD),"Schneider Electric, Interpower Induction, General Cable",0,0,18.0,33.0,25.5,"Southwire
", GA,0,70,0,0,0,0,0,0,1,0,0,0
Lead Electrical Engineer,$55K-$74K (Glassdoor est.),"Little is a dynamic, multi-disciplinary design firm dedicated to the belief that the best design solutions come from the creative collaboration of people from all fields of design. Our professional design staff includes: Architects, Interior Designers, MEP Engineers, Structural Engineering, Land Development Planners and Engineers, and various other building and technology professionals.

We are currently looking for aLeadElectrical Engineer with a positive, hands-on, collaborative work style to join ourDurham, NC office (located in the American Tobacco Historic District) to elevate our engineering capabilities and to further grow dynamic Engineering Studios in every office of Little. Proven experience should include most of the following project types: office, interior renovation, financial services, healthcare, civic, and education projects. Other experience, such as mission critical/data centers is a plus.

A position you’ll love:
Collaborating with our architects to pursue new clients/projects;
Generating and evaluating design options from the earliest stages of a project; and
Using your passion for innovative design, problem-solving, and critical thinking;
Ideal candidates will have the following Qualifications:
A passion for collaboration and for innovative engineering solutions.
Creative and able to think flexibly, explore multiple approaches and build upon the ideas of others
Excellent written and verbal communication skills
Registered Electrical Engineer, able to become registered in additional states (NCEES record a plus)
Minimum 8 years of professional experience in design of power distribution systems, fire alarm systems, lighting and controls
Knowledge of building, energy, and electrical codes to generate construction documents
Lighting Certified Professional a plus
Proficiency with Revit (AutoCAD a plus)
Proven CA experience, including successful field engineering to resolve conflicts and issues
Ability to perform assessments of existing buildings
Experience with LEED Certified Projects and passion for Sustainability, and willing to obtain LEED accreditation (LEED AP a plus)
WELL Certification a plus
Our“Best Places to Work” award-winning culture is energetic, collaborative and open. We value people who are fun to work with and who have a positive impact on those around them. We offer outstanding benefits, compensation, and professional growth opportunities. We are committed to creating a better world through sustainable, resilient& regenerative design and we welcome people with similar experience and/or passions.

To learn more about Little, please visit us atwww.littleonline.com or check out our blog at:www.littlespeakeasy.com.

Want to hear what's it's like to work for Little in Durham? Here's a peak inside Little-Durham:https://vimeo.com/360290196

To be considered for this opportunity, please submit a resume for review.

Little is an equal opportunity employer. In accordance with anti-discrimination law, Little prohibits discrimination and harassment of any type and affords equal employment opportunities to employees and applicants without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. Little is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. To request reasonable accommodation, contactcareers@littleonline.com or a member of our HR Team",3.6,"Little
3.6","Durham, NC","Charlotte, NC",201 to 500 employees,1964,Company - Private,Architectural & Engineering Services,Business Services,$50 to $100 million (USD),-1,0,0,55.0,74.0,64.5,"Little
", NC,0,56,0,0,0,0,0,0,1,0,0,0
Entry Level Electrical Engineer,$65K-$83K (Glassdoor est.),"Entry Level Electrical Engineer

Morrison-Maierle, Inc. has an opportunity in ourKalispell, Montana office for anEntry Level Electrical Engineer.

Morrison-Maierle is an employee-owned company offeringprofessional opportunities and lifelong benefits— it is a place you can build a career. We prize candidates who live our core values of integrity, commitment, respect and excellence. The person in this position will help us to deliver on our core purpose: creating solutions that build better communities. If you want to apply your skills, learn and grow in a collegial environment, and tackle challenging project work we want to hear from you.

As a regional firm anchored in the western United States, Morrison-Maierle has approximately 300 employees and is currently ranked within theEngineering News Record’s “Top 500 Design Firms.”

Opportunity:

Morrison-Maierle is recruiting to fill an entry level electrical engineering position.Duties will include working under the direction of the Project Manager and Task Managers in the execution of project related duties.

·Project Types:Industrial, Higher Education, Municipal, Healthcare, Airports, Government, Hospitality.

·Design and Drafting of Power Plans:receptacle and HVAC and owner equipment power connections, main electrical equipment room layouts, 1-line diagrams, emergency generator and Uninterruptible Power Systems.Panel and Equipment Schedules.Design and Drafting of Lighting Plans:light fixture layouts, lighting calculations, photometric lighting analysis, lighting controls.Design and Drafting of Systems Plans:fire alarm, voice / data, security, paging and public address systems.

·Coordination of REVIT model / ceilings and backgrounds with architect, and responses to Request For Information from the contractors.Assembly and editing of construction specifications.Drafting of As-Built drawings for record.

·Tasks may also include load calculations, site inspections and punch lists, email and inter-office memorandum, report writing, submittal review, and design and construction meetings with owner’s, architects, and contractors.Must be familiar with or ability to learn the application of relevant electrical codes, as well as instrumentation and control systems.

Qualifications:

·Bachelor’s degree in Electrical Engineering

·0 to 3 years’ experience in the Architectural Engineering industry.Engineer Intern certification, or ability to obtain within 6 months.

·REVIT and AutoCAD a plus; proficiency with REVIT will be required within 6 months.Experience with AGI lighting software, Excel and Word are also a plus.

·High level of personal responsibility. Interpersonal skills to meet and communicate effectively with coworkers and clients. Positive attitude and professional bearing. Strong written and verbal communication skills.

Salary:

$55,000 - $60,000 per year

Location:

Kalispell, Montana

An Equal Opportunity Employer for Minority / Female / Disability / Veterans

What's So Special About Working at Morrison-Maierle?

As a 100% employee owned company, you have significant ability to impact the direction and strategy of the company and your work. This flexibility rewards those who seek positions of responsibility and leadership, and who have a growth mindset. Surrounded by the beauty of the western United States, Morrison-Maierle has offices throughout Montana, Wyoming, Washington, and Arizona. We strive to give our employees work-life balance so they can advance their careers in some of the most desirable locations in the country. Morrison-Maierle is a community-minded company that encourages its employees to become involved in organizations with local and personal significance. We follow our Core Values of integrity, respect, commitment, and excellence in everything we do.

Our employee-owners enjoy a comprehensive benefit package which includes generous Paid Personal and Holiday Leave, Employee Stock Ownership& 401(k) Retirement plans, and Incentive Compensation. Health benefits include Medical, Dental, and Vision Insurance, Health Savings Account employer contribution, Wellness Incentives, Company Paid Life/AD&D and Long -Term Disability Insurance as well as voluntary, employee paid benefits such as Short-Term Disability and Supplemental Life Insurance. In addition, we offer opportunities for professional development including percentage tuition reimbursement and attendance at professional conferences and trade shows.

Apply online atwww.m-m.net",3.3,"Morrison-Maierle
3.3","Kalispell, MT","Helena, MT",201 to 500 employees,1945,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),-1,0,0,65.0,83.0,74.0,"Morrison-Maierle
", MT,0,75,0,0,0,0,0,0,1,0,1,0
PROJECT ENGINEER – ELECTRICAL & CONTROLS,$72K-$95K (Glassdoor est.),"Role:
The Electrical & Controls Project Engineer shall work as part of the TTS Engineering team with emphasis on:
Software development, testing, startup and commissioning for Allen Bradley/Rockwell Automation PLC Based Control Systems
Detailed electrical design and drawing creation, review, and approval
Factory testing and validation of system performance
Duties & Responsibilities:
Review and ensure the project design fulfills all requirements of customer purchase order
Creation, Review, and/or Approval of Electrical drawings using AutoCAD design software.
Generation of Project Bill of Materials including drawings, specifications, and documents for procurement of materials, equipment, and services
Software development from one of or a combination of the following:
Control Narrative
Customer Go-By
Cause & Effect and P&IDs
Troubleshoot existing PLC programs using historical data and customer feedback
Site installation supervision, system commissioning, and startup
Ensure projects are completed according to project plan, schedule, bills of materials, drawings, and specifications
Provide project coordination, reporting, and documentation
Experience
3-5 years project engineering and/or related project management experience
3 years in an automation environment with direct involvement in software development, configuration, testing, and implementation
Effective communication and collaboration with multiple levels within the organization
Desired Skills & Experience
Allen Bradley/Rockwell Automation PLC, control system platform
RSView Studio SE, ME and/or Wonderware, Archestra HMI platforms
Familiarity and ability to read/understand Electrical Schematics, Control Logic Diagrams, Piping and Instrument Diagrams, and Cause & Effect Diagrams
Working understanding of National Electric Code
Electrical Process design including specification and selection of: Electrical and Control components, Low Voltage Power distribution (480 VAC/120 VAC) and process control instrumentation
Electrical design and creation of connection drawings with AutoCAD
Proficiency with Microsoft Excel
Bachelor’s degree in Electrical Engineering
Miscellaneous
Travel to customer sites is required. Travel is project based and can vary based on project timelines. Estimated travel is 30-50%",5.0,"Turbine Technology Services
5.0","Orlando, FL","Orlando, FL",1 to 50 employees,-1,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$10 to $25 million (USD),-1,0,0,72.0,95.0,83.5,"Turbine Technology Services
", FL,1,-1,0,0,0,0,0,0,1,0,0,0
Electrical Design Engineer,$85K-$106K (Glassdoor est.),"The Electrical Design Engineer is responsible for design of battery energy storage systems (BESS), sometimes coupled with utility scale wind and solar energy installations, with emphasis on utility interconnection and medium voltage (12-35kV) design.
This position requires strong working knowledge of electrical engineering design principles, industry standards and local electric codes.
The Electrical Design Engineer is expected to work within experienced teams and execute projects in conformance with customer requirements and applicable codes. The person will develop detailed diagrams and drawings, create bill of materials, develop equipment specifications, perform design calculations, participate in system installation, and assist with project on site testing.

Primary Responsibilities:
Provide medium voltage design expertise to the design team, creating project drawings, block diagrams, line diagrams and component specifications.
Review and analyze specifications, industry standards and local codes.
Create preliminary design documents in support of new business conquest.
Perform electrical calculations and simulations in support of the electrical design and component specification (capacity and voltage calculations, conductor and fuse sizing, inverter and converter characteristics, electrical panels, metering, switches, etc.).
Create project electrical drawings (main level, sub-system, main circuit, control circuit, physical and logical, cables set, cable and device tables).
Participate in installation of various battery energy system components.
Execute test plans in the lab and in the field.
Support component factory acceptance testing and on-site commissioning.
Coordinate with clients, utilities, partners, contractors and suppliers.
Work closely with other disciplines including application and mechanical engineers, developers, architects, utilities and contractors.

Position Qualifications:
S. in Electrical Engineering.
Minimum 3 years of electric power design of medium voltage electrical distribution systems.
Knowledge of NEC codes, IEEE, UL and ANSI standards, Grid codes in North America and Europe.
Experience with BESS development preferred.
Working knowledge of reading construction and electrical drawings and specifications.
Knowledge of dimensioning, design and protection of transformers and medium voltage switchgears.
Hands on experience with installing, connecting and testing electrical components.
Experience with smart devices communication protocol (CAN, Modbus).
Excellent English written and verbal communication skills, ability to write detailed specifications and technical reports.
Ability to travel up to 50% of the time.
Must have a strong work ethic, positive attitude, and be able to work in a team environment.",2.2,"Leclanché
2.2","Anderson, IN","Yverdon-les-Bains, Switzerland",51 to 200 employees,1909,Unknown,-1,-1,$25 to $50 million (USD),-1,0,0,85.0,106.0,95.5,"Leclanché
", IN,0,111,0,0,0,0,0,0,1,0,0,0
